xj,F''(xj),S''(xj),|F''(xj) - S''(xj)|
-1.0,0.0,0.32057416267920713,0.32057416267920713
-0.9,0.5999999999999996,0.23397129186601706,0.3660287081339826
-0.8,1.1999999999999993,1.4679425837320341,0.26794258373203483
-0.7,1.8000000000000007,1.8980861244019036,0.0980861244019029
-0.6,2.4000000000000004,2.328229665071772,0.07177033492822815
-0.5,3.0,2.973684210526324,0.026315789473676077
-0.3999999999999999,3.6000000000000005,3.619138755980877,0.019138755980876443
-0.29999999999999993,4.2,4.207177033492826,0.007177033492825835
-0.19999999999999996,4.800000000000001,4.795215311004776,0.004784688995224329
-0.09999999999999998,5.4,5.397607655502392,0.0023923444976086117
0.0,6.0,6.000000000000008,7.993605777301127e-15
0.10000000000000009,5.3999999999999995,5.402392344497608,0.0023923444976086117
0.20000000000000018,4.799999999999999,4.804784688995208,0.00478468899520923
0.30000000000000004,4.199999999999999,4.192822966507172,0.007177033492827611
0.40000000000000013,3.599999999999999,3.5808612440191325,0.019138755980866673
0.5,3.0,3.0263157894736885,0.02631578947368851
0.6000000000000001,2.3999999999999995,2.4717703349282436,0.07177033492824414
0.7000000000000002,1.799999999999999,1.7019138755980814,0.09808612440191755
0.8,1.1999999999999993,0.9320574162679212,0.26794258373207813
0.9000000000000001,0.5999999999999996,0.9660287081339604,0.3660287081339607
1.0,0.0,1.0,1.0
