xj,F(xj),S(xj),|F(xj) - S(xj)|,F'(xj),S'(xj),|F'(xj) - S'(xj)|
-1.0,2.0,-2.5684210526317197,4.56842105263172,-3.0,1.7371610845297218,4.737161084529722
-0.9,1.701,1.1155095693779908,0.5854904306220092,-2.97,-2.9337719298245615,0.03622807017543872
-0.8,1.4080000000000004,0.8253588516746416,0.5826411483253587,-2.8800000000000003,-2.8486762360446587,0.031323763955341644
-0.7,1.1269999999999998,0.6204712918660285,0.5065287081339713,-2.7299999999999995,-2.347551834130783,0.3824481658692167
-0.6,0.8640000000000001,0.39592344497607623,0.46807655502392387,-2.5199999999999996,-2.1362360446570987,0.38376395534290086
-0.5,0.625,0.23660526315789485,0.3883947368421051,-2.25,-1.6560207336523096,0.5939792663476904
-0.3999999999999999,0.4159999999999998,0.08694736842105297,0.3290526315789468,-1.9199999999999997,-1.3263795853269493,0.5936204146730504
-0.29999999999999993,0.24299999999999988,0.023107655502392438,0.21989234449760744,-1.5299999999999998,-0.6883652312599666,0.8416347687400332
-0.19999999999999996,0.11199999999999995,-0.023712918660286825,0.13571291866028679,-1.0799999999999998,-0.23824561403508648,0.8417543859649134
-0.09999999999999998,0.028999999999999984,0.024964114832535904,0.00403588516746408,-0.5699999999999998,0.5094816586921851,1.079481658692185
0.0,0.0,0.10390430622009571,0.10390430622009571,0.0,1.0793620414673049,1.0793620414673049
0.10000000000000009,0.029000000000000054,0.24903588516746455,0.2200358851674645,0.5700000000000005,1.65043859649123,1.0804385964912295
0.20000000000000018,0.1120000000000002,0.44009569377990515,0.32809569377990494,1.080000000000001,2.1607974481658707,1.0807974481658698
0.30000000000000004,0.24300000000000005,0.6308923444976074,0.3878923444976074,1.5300000000000002,2.3687639553429016,0.8387639553429014
0.40000000000000013,0.41600000000000026,0.8877129186602871,0.47171291866028686,1.9200000000000004,2.757448165869217,0.8374481658692168
0.5,0.625,1.1333947368421051,0.5083947368421051,2.25,2.8545055821371608,0.6045055821371608
0.6000000000000001,0.8640000000000002,1.4330526315789476,0.5690526315789474,2.5200000000000005,3.1294098883572574,0.609409888357257
0.7000000000000002,1.1270000000000007,1.705528708133972,0.5785287081339714,2.7300000000000004,3.0732137161084534,0.34321371610845297
0.8,1.4080000000000004,2.0200765550239237,0.6120765550239233,2.8800000000000003,3.204912280701753,0.3249122807017528
0.9000000000000001,1.7010000000000003,2.3104904306220093,0.609490430622009,2.9699999999999998,3.1526395534290232,0.1826395534290235
1.0,2.0,2.630641148325358,0.630641148325358,3.0,3.250940988835721,0.2509409888357208
