xi-1,xi,a,b,c,d
-1.0,-0.8,1.4080000000000004,-2.895470494417862,1.467942583732035,12.339712918660174
-0.8,-0.6,0.8640000000000001,-2.51585326953748,2.3282296650717718,4.301435406698683
-0.6,-0.3999999999999999,0.4159999999999998,-1.9211164274322143,3.6191387559808765,6.454545454545523
-0.3999999999999999,-0.19999999999999996,0.11199999999999995,-1.0796810207336516,4.795215311004776,5.880382775119499
-0.19999999999999996,0.0,0.0,-0.0001594896331732487,6.000000000000008,6.023923444976158
0.0,0.20000000000000018,0.1120000000000002,1.0803189792663486,4.804784688995209,-5.976076555023995
0.20000000000000018,0.40000000000000013,0.41600000000000026,1.9188835725677829,3.5808612440191325,-6.119617224880383
0.40000000000000013,0.6000000000000001,0.8640000000000002,2.5241467304625202,2.471770334928243,-5.545454545454446
0.6000000000000001,0.8,1.4080000000000004,2.8645295055821367,0.9320574162679207,-7.698564593301612
0.8,1.0,2.0,3.057735247208929,1.0,0.33971291866039643
